IsActual|CreatedByUserId|CreatedByUserName|Created|LastModifiedByUserId|LastModifiedByUserName|Address|LastModified
True|250A0601-F50F-EE53-6D61-241DB31FF093|Grant Gill|2020-12-22|B6C7F105-E6A9-740C-BE6F-51940F3AA783|Knox Cantrell|761-1537 Ut Avenue|2020-06-26
False|139B4503-EE97-C4AC-5F82-DD7F9A6CC823|Adrian Landry|2020-06-11|52685A7C-D530-AA66-4E29-A337F9E153B7|Palmer Oneal|488-9620 Vitae St.|2021-02-20
False|7AA12270-CACA-749B-B0DB-3DA2ABAC40F9|Forrest Hall|2020-05-03|48BBE257-1A2D-FFD2-F409-79F50CF51DE2|Hiram Pratt|796-9479 Amet St.|2020-11-19
False|C6654FA4-DA13-A481-04BF-AFA24994D6AF|Hamish Morton|2020-02-20|74CB233C-BD03-EAA7-76E5-EFCBD80C43C5|Holmes Stanley|P.O. Box 575, 7956 Non, St.|2021-06-19
False|985C1066-082A-8BA7-A88F-57CD4D953771|Lionel Cherry|2021-02-05|8F3CE672-3719-10C7-1F98-B822746A735E|Charles Espinoza|793-4394 Semper Av.|2020-04-20
False|1AE4DB75-9089-B1D3-13DE-C186AF2233C4|Rigel Vaughan|2020-01-26|24C04966-F62E-7436-A018-A9F96035A8F2|Tyler Lloyd|9688 Donec Avenue|2021-09-14
True|1C940C3A-3D98-1005-9A8E-ED7DB487D15B|Wing Navarro|2021-05-09|3A37F8F7-DE74-EAC8-01E2-B9D0D16A6BA0|Philip Steele|P.O. Box 533, 2074 Nulla St.|2021-03-22
True|9F0C3EC9-684E-E97D-A4FA-1D90285649CE|Beck Ware|2020-12-06|992CB4A4-F00A-F6AB-4AB7-B2BC3D0DE7A2|Knox Mcfadden|4972 Sapien Street|2021-02-06
False|D1D1E0B4-D228-205A-634B-1102E59573CB|Brandon Riddle|2021-11-02|502E7C37-117A-16C4-7B4D-A5B53F6766FF|Rudyard Cole|P.O. Box 266, 3283 Nunc Road|2020-01-14
True|61E54ADE-88D8-5622-C6CB-4A2B971803AE|Noah Erickson|2020-12-05|CC61DB28-7293-BAEF-2A7D-252B0E2968CB|Travis Galloway|P.O. Box 113, 4933 Porttitor Avenue|2020-06-20
True|00FFD3F6-A670-470D-D255-F995CB18E290|Ulysses Maxwell|2020-04-19|163599A8-16EA-A3F8-C407-58C33FCEFF23|Wang Fernandez|P.O. Box 399, 5287 Enim Ave|2021-04-08
True|652FD0D5-0F58-3070-F05F-49A88643DB5F|Nicholas Chavez|2020-09-25|1BC48E61-16F6-390B-9D2F-9A47BFA4F1AF|Daquan Estes|P.O. Box 512, 8309 Congue Avenue|2021-02-09
False|CA2F0EB5-AFA5-45ED-AB66-95F679432BB1|Erich Skinner|2020-09-13|C68A53B9-D53E-BBBF-2177-8C826FDD63AD|Josiah Cline|P.O. Box 107, 9038 Donec Ave|2020-11-20
True|28E74530-6712-EC0C-AC58-10E9092A82BE|Branden Lang|2021-05-29|E0CBA47D-0E8C-5211-DDE2-D6C8BADCD9BA|Hiram Steele|Ap #264-1819 Dui. Street|2021-03-09
False|12A867DD-3E19-CBDF-3FFD-042D80C7D70D|Owen Page|2020-12-21|8D7AADBD-824D-B7B8-B278-CFFD1602FE08|Lester Hodge|Ap #994-1510 Malesuada St.|2020-08-11
False|730387FE-E7B7-2272-6DFE-7DF1F1EE0059|Stephen Delaney|2020-12-20|67FC1533-7D09-D543-F691-B5BC3FAB86D2|Kieran Whitley|Ap #308-5349 Purus, St.|2021-03-01
True|1CB18AE5-76E6-F1A2-60B9-5298050216E1|Hashim Wilder|2021-05-24|D2DF413D-5DF0-21C5-2CF2-3FAF7DA9B1CC|Kasper Meyers|756-1720 Egestas. Rd.|2020-07-09
True|63AB4C1C-B1B0-02B8-52EA-49FCA373095B|Nissim Gomez|2020-03-02|242A5459-E50E-31B5-9A3E-93ACE129B4AF|Elton Luna|859-1260 Vel Street|2020-10-29
False|FEE2C4B3-BFA7-B86C-2B42-83980F878274|Carlos Rowe|2021-09-26|B78EC1EA-F83A-13D1-8E7C-79B0C435CC03|Hunter Mathis|Ap #737-1038 Ut Rd.|2020-01-22
True|3FC14479-50FD-E5EE-7419-A9D83322E63F|Zeus Alston|2021-08-19|F0C7F1C0-458F-938D-3177-FC98EEEE1A9F|Ferdinand Oneill|8371 Varius St.|2021-07-29
False|23ECD5CD-6F7C-6498-4BB0-ED5092EC9976|Nigel Hopkins|2021-08-28|2C07E1E8-5D7A-470C-38B1-7D6DFC1389EE|Warren Cooper|P.O. Box 778, 1172 Vehicula Rd.|2020-01-25
True|C91F9ACB-8FBC-FE6D-E7B7-16A23CBB526A|Evan Gaines|2020-07-21|28793724-E08B-7310-4B05-66CDCA5B0339|Edan Wilkinson|Ap #447-2335 Malesuada St.|2021-02-16
True|E78460F2-D1F4-8371-8A5F-09D80097DF97|Raymond Mosley|2019-11-18|1BFFCCD3-3645-115E-8153-4424834F9A50|Arden Dunlap|P.O. Box 887, 7569 Nisi Ave|2020-03-24
False|CD262B30-F58E-D47A-5FE8-91F9826238F3|Luke Velasquez|2021-10-16|6940C73E-0BE5-04DA-15FF-2F2B5F2CB56B|Kieran Reed|P.O. Box 306, 6739 Vel Av.|2020-02-26
False|BF4AEF94-0C0B-A054-50AA-E0A61A4BC585|Cairo Henderson|2020-11-05|B63989EF-29B6-1981-1B0A-DB3AB1B8F2F8|Andrew Medina|477-1221 Aliquet, Rd.|2021-06-29
False|40950681-FD40-B4B1-E418-CA0F0A199E35|James Rojas|2020-12-05|B772CC02-3344-795E-7272-073BE9BCC777|Murphy Fields|P.O. Box 238, 5819 Aliquam Av.|2021-01-14
True|7A00B70D-306D-16D3-9B5B-FF3558BEF4BE|Elmo Robertson|2021-10-10|55699DBA-9B1B-2A0E-44FA-22BC3125510D|Perry Hayes|Ap #371-3097 Quisque Ave|2021-02-03
True|BAC42773-485E-F6C4-845A-3C75E2B268C3|Cadman Cabrera|2020-05-12|63949C50-4A18-CD84-CD19-1A86B8F4FF2D|Porter Dixon|294-9911 Nullam Av.|2021-05-13
False|6259C0EE-4D92-D3F4-93E4-5702D659642C|Alden Le|2020-11-04|430EA3A4-D3BF-C1E2-D8B5-8855820A9744|Chancellor Mcintyre|188 Ac Rd.|2019-12-18
True|D119C9DA-C570-2EEA-D89F-56DEA310EFCD|Porter Vazquez|2021-03-30|159034F9-473F-5451-9331-3A9925FC89E6|Denton Savage|1342 Nec, Ave|2021-01-04
False|B069CBDB-C091-959D-ACF0-61779DF71E01|Brenden Bradshaw|2021-08-27|BCCA993E-B835-7442-B788-4206E9005FC5|Tyrone Doyle|P.O. Box 901, 897 Ac St.|2021-03-31
True|53D09992-2172-A3E1-300A-D82353D3246F|Armand Crosby|2021-05-23|0B1F9127-BEDE-2035-ED3C-FB2E57370EF8|Jackson Wilkerson|Ap #185-2270 Nostra, Rd.|2020-03-11
False|0958CBFA-2488-4F3E-5CA3-E1E6F3A0256C|Dominic Dale|2021-02-17|37229B65-1D7F-3F4D-E630-D83A3B01394F|Cole Bradley|853-5642 Nullam Street|2021-02-06
True|23A6B3B3-2C5D-59F8-EED4-086863A27301|Neville George|2020-02-03|38CF8981-656E-DB4A-B45C-14D7C9871EF5|Tyler Daniels|1520 Urna Ave|2020-01-13
False|D00D8CDF-DDC5-C47B-5FD7-D9AF16C1BE52|Ciaran Cameron|2020-03-13|AA8DEE0D-861B-7F43-CCA0-97E9E23DCBC6|Keaton Harper|Ap #906-2961 Ligula. Road|2021-02-08
False|AAF379AC-FC39-4DAC-E450-E230B509C7B5|Leroy Davenport|2021-02-13|2CB468E1-ED0E-EAFC-8C43-3D60BF61947C|Ezra Gallegos|375-7885 Purus. St.|2019-12-07
False|52B7338C-A5D6-B473-9797-3F21D6E875BD|Amery Boyer|2020-07-09|E651A560-6043-27C6-1695-DBDE98AEF3D7|Abraham Jacobs|Ap #307-1781 Velit. St.|2021-02-20
True|23A36ABE-F57E-ABC6-9995-698464D23D51|Oliver Hoover|2021-10-31|88A88FE3-17B1-B523-9978-54E4B238BAD4|Cade Robertson|Ap #937-7839 Eu, Street|2020-08-09
False|F9E9443C-4A71-82C0-E361-7F8E2D74103A|Owen Dillard|2021-08-01|B0AA582B-02E0-0E7F-097C-6838AA13671D|Henry Lancaster|Ap #303-1814 Est, St.|2020-07-28
True|F834A8A1-7C70-B3A7-845B-85033FA093B4|Colt Barrett|2020-11-27|95F06EE2-D081-1126-0E43-80507B634004|Giacomo Vasquez|P.O. Box 505, 2622 Et, Road|2021-07-06
True|8A5BBC67-4A6C-5840-D7DA-DB53592D899E|Sean Duke|2021-04-08|C7165380-1421-ADF0-F425-6B8B3321994E|Ethan Santos|4646 Lorem, St.|2021-01-17
False|5C4AFAF8-2C56-227A-44D2-68ACF0989F20|Jonas Reeves|2020-10-09|F6721C68-2900-157C-06ED-7379F9DC6427|Graham Washington|875-3369 A, St.|2020-03-01
True|180217B3-7419-048E-4FB2-5AB100DB72BD|Slade Washington|2021-09-26|648C7E6A-2DB1-3CB7-A28C-24861FFD0915|Ahmed Davis|P.O. Box 484, 4108 A, Avenue|2020-09-05
True|BCFD24DD-7F7F-8118-9936-199E10596274|Cyrus Johns|2020-10-06|5FFA1368-62AA-FC46-C2DE-4B127961F712|Logan Parsons|P.O. Box 148, 9638 Vel Av.|2021-05-11
False|28A6C259-13E2-197A-8C1D-E4E0720D2025|Owen Ball|2020-01-28|4690F580-EC05-7D78-E0E2-C4E8793829A4|Colin Mccall|1459 Dolor, Ave|2021-03-29
True|36F9042D-A0FB-590E-9356-3203A84F4A65|Grady Mcfadden|2020-09-17|9139A5AA-624F-FA92-B398-EA429E2F5F38|Valentine Lang|Ap #604-9616 In Street|2019-11-27
True|0F985499-E447-4C1F-476C-6C500E98A05D|Lyle Mercado|2020-03-02|709B08D4-2867-E47E-A6B9-EEB4D1739D5D|Chandler Clayton|894-5863 Aliquet Avenue|2020-06-17
False|DF04E3A0-C780-E08D-2B9D-FDF292603D9F|Howard Bartlett|2020-06-04|87F9F875-EE02-41AE-ADD5-6DEA1C6384C1|Simon Wright|7946 Duis Ave|2021-01-30
False|933A42C1-470C-70CE-769E-93254DCA46D1|Cruz Richard|2020-01-02|FC29077E-DF99-0EE9-F749-F068DBBDE0D7|Lee King|8841 Faucibus Rd.|2021-05-16
False|6CE8A570-D09C-7D89-BF23-F96469CAEB6D|Cyrus Gibson|2021-09-03|33F9F04A-90A7-4004-ECB4-73150CC87398|Josiah Allison|Ap #772-2945 Velit St.|2021-08-12
False|4634D954-CA41-A38D-DCE6-4EF58A75599E|William Bush|2020-03-20|E0FA4F1A-BB86-4B7E-6296-310E7FB76ABD|Dennis Levy|7871 Sed Av.|2021-07-09
True|65C6D1C0-7BBC-CE92-E960-B82F01DDFAEA|Nathaniel Morris|2021-06-25|2C344580-9AFE-9A6F-D957-8AC39099B288|Yuli Abbott|P.O. Box 755, 8215 Phasellus Rd.|2021-09-21
True|0EFC55C8-463F-5368-200B-7A4026B0A247|Clayton Bolton|2021-01-16|C3B370E8-3959-61AA-B6B0-42FD358C3CFC|Orson Parsons|762-3820 Fringilla Rd.|2021-04-08
False|EDCAF8A2-3EC6-B0A1-D431-94888CFB9451|Seth Buckner|2020-01-12|6879D559-9DC8-5BFC-0314-30ADC8960817|Travis Kerr|2002 Odio Street|2021-03-09
True|34A5EE26-81E7-5D33-A565-52110B80D59F|Carson Sellers|2020-12-14|70D9C6E6-9536-931F-BAF9-D66CA59AD27E|Dorian Nieves|9964 Non St.|2020-11-03
True|30890FFB-356D-BE63-F852-004A0CB8471A|Ignatius Hull|2020-02-26|FDB7B04A-50FB-16F1-5312-8778D5E7D476|Phelan Lynch|856-6531 Nunc, Rd.|2020-06-03
True|117F82AC-47D0-D082-5986-DB18FFCF06C4|Colt Manning|2020-07-29|7B80D32F-90F9-2366-8C68-93F00935BE33|Denton Simpson|1381 Pede. Av.|2021-05-30
True|8380C779-E7A4-EA8E-C38D-2EB1454BEEC0|Gil Douglas|2020-06-16|732FE429-1958-C9F9-50B4-5E2593317829|Byron Burton|5081 Elementum, Road|2021-05-01
True|F4A9E761-F16B-D38A-C718-33FB4BFD3924|Wayne Wilson|2020-06-07|F691AC0C-CD38-4EF2-E3AB-63D67BA949BA|Denton Ruiz|7930 Tempor Avenue|2020-02-10
False|74399A3C-62A1-370A-3C20-E70FC87F0307|Walter Hanson|2019-12-17|F4D1FFD1-718B-ACFD-D0EE-B7DB0AFA1DDC|Hedley Ratliff|6952 Morbi Road|2020-10-08
False|D82A6C6A-F41F-A590-3226-E87357EB6326|Norman Sweeney|2020-11-01|938B17CB-AC3B-D5C9-8C1D-076730F27493|Joseph Gallegos|Ap #955-6637 Mauris Rd.|2021-04-25
False|E30F021E-09C2-209A-1810-36F2A4A5FEDB|Brandon Mccarthy|2020-01-06|8D7BBE78-B1E8-5F41-F8E1-44DB55F3E5C3|Nero Reeves|Ap #435-9948 Pellentesque, Rd.|2021-02-09
False|CCE82202-F210-5910-EF14-03BE6213E3F0|Silas Myers|2021-05-22|DA846602-1C26-F2A7-FFAE-2E4F25BB4073|Barrett Cleveland|256-9100 Sapien, Ave|2021-05-25
False|368BFAC9-ECD1-93C4-1918-EFF3E0A044B8|Clark Porter|2020-11-12|CCDFB419-0264-4D03-D535-4A3E59BD587A|Leo Curry|Ap #380-4157 Nascetur Ave|2020-08-29
False|8E6269D7-A6FD-DD88-1821-A7167BEB4C6B|Nehru Wall|2020-06-23|7A90E217-0832-D1BE-A82B-FBB2677E6C24|Vladimir Strong|Ap #490-842 Erat. Av.|2020-07-10
False|5CE632C0-D35E-651F-B2D5-6EAF4E56BAA8|Rafael May|2020-03-27|689A4FB7-E314-6E24-EDFB-16ACF5E17B6A|Nicholas Henson|928-3519 Nec Road|2020-11-13
